0 x, -nan
0 y, -nan
0 z, -nan
1 x, -nan
1 y, -nan
1 z, -nan
2 x, -nan
2 y, -nan
2 z, -nan
3 x, -nan
3 y, -nan
3 z, -nan
4 x, -nan
4 y, -nan
4 z, -nan
5 x, -nan
5 y, -nan
5 z, -nan
221 z, -0.000000
222 x, 1.000000
222 y, -0.000000
222 z, 0.000000
223 x, 1.000000
223 y, 0.000000
223 z, 0.000000
224 x, 1.000000
224 y, 0.000000
224 z, -0.000000
225 x, 1.000000
225 y, -0.000000
225 z, 0.000000
226 x, 1.000000
226 y, -0.000000
226 z, -0.000000
227 x, 1.000000
227 y, 0.000000
227 z, -0.000000
228 x, 1.000000
228 y, 0.000000
228 z, 0.000000
229 x, 1.000000
229 y, -0.000000
229 z, 0.000000
230 x, 1.000000
230 y, -0.000000
230 z, 0.000000
231 x, 1.000000
231 y, 0.000000
231 z, -0.000000
232 x, 1.000000
232 y, 0.000000
232 z, -0.000000
233 x, 1.000000
233 y, -0.000000
233 z, -0.000000
234 x, 1.000000
234 y, 0.000000
234 z, 0.000000
235 x, 1.000000
235 y, 0.000000
235 z, 0.000000
236 x, 1.000000
236 y, -0.000000
236 z, -0.000000
237 x, 1.000000
237 y, -0.000000
237 z, -0.000000
238 x, 1.000000
238 y, 0.000000
238 z, 0.000000
239 x, 1.000000
239 y, -0.000000
239 z, 0.000000
240 x, 1.000000
240 y, -0.000000
240 z, 0.000000
241 x, 1.000000
241 y, -0.000000
241 z, 0.000000
242 x, 1.000000
242 y, -0.000000
242 z, 0.000000
243 x, 1.000000
243 y, 0.000000
243 z, -0.000000
244 x, 0.000000
244 y, 0.938656
244 z, -0.344856
245 x, -0.972205
245 y, -0.188244
245 z, 0.139218
246 x, -1.000000
246 y, 0.000000
246 z, -0.000000
247 x, -1.000000
247 y, 0.000000
247 z, -0.000000
248 x, -1.000000
248 y, 0.000000
248 z, -0.000000
249 x, -1.000000
249 y, 0.000000
249 z, -0.000000
250 x, -1.000000
250 y, -0.000000
250 z, 0.000000
251 x, -1.000000
251 y, 0.000000
251 z, 0.000000
252 x, -1.000000
252 y, 0.000000
252 z, -0.000000
253 x, -1.000000
253 y, -0.000000
253 z, 0.000000
254 x, -1.000000
254 y, -0.000000
254 z, 0.000000
255 x, -1.000000
255 y, -0.000000
255 z, 0.000000
256 x, -1.000000
256 y, -0.000000
256 z, 0.000000
257 x, -1.000000
257 y, -0.000000
257 z, 0.000000
